Area_sqft,Price
2185.430534813131,5812360.752694082
4778.214378844623,13772050.085668288
3793.972738151323,11576327.669585826
3193.9631788866645,8994952.873506978
1202.0838819909643,4162568.798574544
1201.9753415129119,3570365.879123568
761.3762547568977,2326926.116242956
4397.7926559872085,13054191.48415768
3205.0175528444397,10001476.577805182
3686.3266000822045,11450559.744135119
592.630224331111,1945417.8489494186
4864.594334728975,14876177.557140749
4245.991883601898,12631930.81584548
1455.5259980522428,4637679.497611253
1318.2123524319527,3785698.1695589544
1325.3202943404522,3977076.6941025574
1869.0900933179198,5469948.40527061
2861.4039423450704,8355602.557375613
2443.752583889521,6986701.852807667
1810.5311308911887,5665438.444603009
3253.3380262507076,10415317.035158854
1127.7223729341881,3968718.104637344
1814.6509184084816,4815670.087252728
2148.6282948216126,7090486.410168274
2552.3149289766616,7497865.53612102
4033.291826268561,12400241.98637848
1398.5320197126189,3742488.393114251
2814.0549728612523,8513154.875520758
3165.865559879191,9654458.271086028
709.0268572399898,1384778.1757601427
3233.9518335564726,10005989.083841512
1267.358556592812,4475043.173697594
792.7321684337578,2290872.5324604595
4769.984917639999,14990038.818334004
4845.344148835517,14441185.699780349
4137.7880665240755,12838156.465095535
1870.7619612801682,4503000.900864954
939.5245130287274,4027962.428742914
3579.048619304706,11484874.980535597
2480.686221828206,7299745.913357778
1049.1720568015048,2161471.657082605
2728.2960955007156,8328902.470654892
654.7483450184827,1242282.2615185697
4591.941809354519,13998252.1968423
1664.5099172000762,5199312.611182369
3481.350279592919,9973349.254277743
1902.6998424023493,6268583.039014237
2840.3060953001486,8923705.637303533
2960.1962570447586,9368500.439778557
1331.8450498648717,3999964.001429063
4863.130824940514,13881630.441364689
3988.0977051250156,12453229.251480617
4727.745237038851,14048050.011548657
4526.72307692442,12885279.159176925
3190.549904649883,10247669.396936812
4648.434057604026,14995005.933063332
898.2162592336377,2674024.7132113115
1381.9228808861535,5225329.219960107
703.5228000974213,2156225.764597939
1963.9864884346896,5701731.513220893
2249.047803602669,6431914.183715267
1721.0706429825316,5981753.132943966
4229.318791183682,12297884.432857161
2105.3899701211517,6683804.565350949
1764.2052935932134,5013033.963250035
2942.132374212118,8596243.741349172
1134.1590123864319,3917601.884144079
4109.886413393178,12139640.817034857
835.4778965589687,2304035.9999667592
4940.991214702328,15389375.992694387
3975.101461834958,12724003.032115687
1394.2205669037758,4505006.602353443
524.8495270562108,1247163.6933566579
4169.576428046754,12253425.034491472
3680.858047314277,11082531.77381285
3780.5322561844428,11502061.799516156
3970.7165600867556,11418216.72519038
833.2009328034067,2861121.768200152
2113.0957784492266,6382044.000167479
1021.4107678630837,2206378.144270187
4383.965416440171,12687433.008090148
3304.8415707240106,9662460.375346199
1989.0411118369213,5930694.491090237
786.0125762871064,3302677.1266133175
1899.4204477204798,5817346.996231253
1963.3249491203617,5469588.902411773
3783.227802521288,11459998.809717447
3369.008621098459,9930981.989568438
4492.457341593469,13639751.14454718
2624.967163228772,8165185.333204123
1038.1741067223577,3719137.643779042
3709.6015425034775,11116661.37967542
3923.5327187760386,12590078.420128033
3025.747389062733,9531253.498456296
3969.3523097955244,11554337.15698048
2722.080183639758,9271168.383793507
2852.297732218973,8720390.45329197
2423.934582613473,6854241.495854301
614.3860703484283,2669614.736660496
985.51142146987,3995423.057008832
641.4313355903041,1907781.374911132
3363.8468506870117,9839715.421873236
1914.60191484347,5657618.265803578
2788.5681102411627,8723070.194482338
4584.049132667418,14391075.725517511
1621.8150311699374,5150688.758941598
2346.723153660334,7091031.065216887
3899.980123443719,12448946.25548337
1529.591744712301,4432356.997611143
846.4095942295685,3054688.451872159
1803.8815381119562,5267613.215160229
1225.4957926430197,3891998.856934506
4683.639435541579,13994137.024229512
4136.5417080398765,12381699.032793224
3350.3169042969057,9862257.454159612
4421.5726558447295,13937144.983124536
4116.524346046015,11983110.019083777
1339.5652649871613,3648579.6686871294
4516.5154932049,14610043.262537254
2927.0400886204284,9270044.048188452
4133.480698238282,11207885.245368326
4532.41084965572,13314603.179361958
1931.0156373733873,4887052.243339134
995.2336603745455,2510355.634416009
1525.7082314387376,3007867.361199193
2421.9850488181537,7197460.357607489
4181.066446651219,11972228.430373002
4373.287624653545,13149815.502358856
531.2845873903582,781293.1327298122
2798.3628615990456,8436544.511383157
2378.3495141695057,6927590.4034483535
1499.485147118286,5249431.923949156
1039.3941530015727,3823860.8898775303
2019.2682713163258,6450477.61545412
4743.093667606337,14065974.112488402
1954.4131940933985,6855929.779910342
2834.5577978451474,7727155.754615532
3663.5853150283,10288976.630303068
2136.3332107068227,6367108.082175936
4873.019372244323,15746077.171193527
